name	type	sampling_frequency	units	low_cutoff	high_cutoff	notch	reference	status
1	ECOG	1000	microV	200	0.15	n/a	scalp	good
2	ECOG	1000	microV	200	0.15	n/a	scalp	good
3	ECOG	1000	microV	200	0.15	n/a	scalp	good
4	ECOG	1000	microV	200	0.15	n/a	scalp	good
5	ECOG	1000	microV	200	0.15	n/a	scalp	good
6	ECOG	1000	microV	200	0.15	n/a	scalp	good
7	ECOG	1000	microV	200	0.15	n/a	scalp	good
8	ECOG	1000	microV	200	0.15	n/a	scalp	good
9	ECOG	1000	microV	200	0.15	n/a	scalp	good
10	ECOG	1000	microV	200	0.15	n/a	scalp	good
11	ECOG	1000	microV	200	0.15	n/a	scalp	good
12	ECOG	1000	microV	200	0.15	n/a	scalp	good
13	ECOG	1000	microV	200	0.15	n/a	scalp	good
14	ECOG	1000	microV	200	0.15	n/a	scalp	good
15	ECOG	1000	microV	200	0.15	n/a	scalp	good
16	ECOG	1000	microV	200	0.15	n/a	scalp	good
17	ECOG	1000	microV	200	0.15	n/a	scalp	good
18	ECOG	1000	microV	200	0.15	n/a	scalp	good
19	ECOG	1000	microV	200	0.15	n/a	scalp	good
20	ECOG	1000	microV	200	0.15	n/a	scalp	good
21	ECOG	1000	microV	200	0.15	n/a	scalp	good
22	ECOG	1000	microV	200	0.15	n/a	scalp	good
23	ECOG	1000	microV	200	0.15	n/a	scalp	good
24	ECOG	1000	microV	200	0.15	n/a	scalp	good
25	ECOG	1000	microV	200	0.15	n/a	scalp	good
