onset	duration	trial_type	TrialType	Stimulus	SSD	Response	response_time	CorrectGo	SuccStop
0.000	1.500	failed stop	1	1	0.238	49	0.406	0	0
3.250	1.500	go	0	0	0.000	50	0.357	0	0
7.250	1.500	go	0	0	0.000	50	0.428	0	0
9.625	1.500	go	0	1	0.000	49	0.477	0	0
12.125	1.500	go	0	0	0.000	50	0.344	0	0
14.500	1.500	go	0	1	0.000	49	0.529	0	0
19.000	1.500	successful stop	1	1	0.318	0	0.000	0	1
24.500	1.500	go	0	0	0.000	50	0.295	0	0
26.625	1.500	go	0	0	0.000	50	0.402	0	0
28.750	1.500	go	0	1	0.000	49	0.333	0	0
31.750	1.500	go	0	0	0.000	50	0.372	0	0
34.500	1.500	failed stop	1	1	0.278	49	0.294	0	0
37.375	1.500	junk	0	1	0.000	50	0.290	1	0
40.875	1.500	failed stop	1	1	0.278	49	0.390	0	0
46.000	1.500	go	0	0	0.000	50	0.464	0	0
48.875	1.500	go	0	0	0.000	50	0.412	0	0
51.250	1.500	go	0	1	0.000	49	0.429	0	0
53.375	1.500	go	0	1	0.000	49	0.463	0	0
55.500	1.500	successful stop	1	0	0.198	0	0.000	0	1
57.750	1.500	go	0	0	0.000	50	0.512	0	0
60.500	1.500	go	0	1	0.000	49	0.489	0	0
64.000	1.500	successful stop	1	0	0.238	0	0.000	0	1
66.750	1.500	go	0	0	0.000	50	0.422	0	0
69.125	1.500	go	0	1	0.000	49	0.503	0	0
71.125	1.500	go	0	0	0.000	50	0.431	0	0
73.375	1.500	successful stop	1	0	0.198	0	0.000	0	1
75.375	1.500	go	0	1	0.000	49	0.380	0	0
78.125	1.500	go	0	1	0.000	49	0.485	0	0
80.625	1.500	successful stop	1	0	0.198	0	0.000	0	1
82.875	1.500	go	0	1	0.000	49	0.367	0	0
87.375	1.500	go	0	1	0.000	49	0.434	0	0
90.000	1.500	go	0	0	0.000	50	0.536	0	0
92.500	1.500	go	0	0	0.000	50	0.444	0	0
95.000	1.500	go	0	1	0.000	49	0.464	0	0
97.000	1.500	go	0	0	0.000	50	0.359	0	0
99.625	1.500	failed stop	1	1	0.318	49	0.334	0	0
104.375	1.500	go	0	0	0.000	50	0.407	0	0
107.000	1.500	go	0	1	0.000	49	0.390	0	0
109.625	1.500	successful stop	1	1	0.198	0	0.000	0	1
112.375	1.500	go	0	0	0.000	50	0.438	0	0
115.250	1.500	go	0	0	0.000	50	0.402	0	0
118.000	1.500	successful stop	1	1	0.238	0	0.000	0	1
121.625	1.500	go	0	1	0.000	49	0.322	0	0
123.625	1.500	go	0	0	0.000	50	0.418	0	0
125.750	1.500	go	0	0	0.000	50	0.357	0	0
128.500	1.500	go	0	0	0.000	50	0.382	0	0
130.625	1.500	go	0	1	0.000	49	0.537	0	0
133.375	1.500	successful stop	1	1	0.238	0	0.000	0	1
135.875	1.500	go	0	1	0.000	49	0.390	0	0
138.500	1.500	go	0	0	0.000	50	0.428	0	0
142.375	1.500	go	0	0	0.000	50	0.441	0	0
144.375	1.500	successful stop	1	1	0.278	0	0.000	0	1
147.625	1.500	failed stop	1	1	0.278	49	0.334	0	0
149.875	1.500	go	0	0	0.000	50	0.387	0	0
152.000	1.500	go	0	0	0.000	50	0.406	0	0
155.500	1.500	go	0	1	0.000	49	0.321	0	0
158.000	1.500	go	0	1	0.000	49	0.493	0	0
162.125	1.500	go	0	0	0.000	50	0.375	0	0
165.750	1.500	successful stop	1	1	0.198	0	0.000	0	1
168.000	1.500	go	0	0	0.000	50	0.372	0	0
170.500	1.500	failed stop	1	1	0.318	49	0.287	0	0
173.000	1.500	go	0	0	0.000	50	0.379	0	0
175.875	1.500	go	0	1	0.000	49	0.319	0	0
178.000	1.500	go	0	0	0.000	50	0.362	0	0
181.875	1.500	go	0	1	0.000	49	0.542	0	0
185.125	1.500	successful stop	1	0	0.238	0	0.000	0	1
190.500	1.500	go	0	1	0.000	49	0.508	0	0
192.750	1.500	go	0	0	0.000	50	0.409	0	0
195.375	1.500	go	0	1	0.000	49	0.320	0	0
198.250	1.500	go	0	1	0.000	49	0.444	0	0
200.500	1.500	go	0	0	0.000	50	0.402	0	0
202.750	1.500	failed stop	1	0	0.278	50	0.416	0	0
204.750	1.500	successful stop	1	0	0.238	0	0.000	0	1
206.875	1.500	go	0	1	0.000	49	0.402	0	0
209.000	1.500	go	0	0	0.000	50	0.485	0	0
