onset	duration	trial_type	TrialType	Stimulus	SSD	Response	response_time	CorrectGo	SuccStop
0.000	1.500	junk	1	1	0.200	49	0.433	0	0
3.000	1.500	go	0	0	0.000	50	0.356	0	0
6.000	1.500	go	0	1	0.000	49	0.363	0	0
8.500	1.500	go	0	0	0.000	50	0.375	0	0
11.000	1.500	successful stop	1	1	0.200	0	0.000	0	1
14.000	1.500	go	0	0	0.000	50	0.323	0	0
16.125	1.500	go	0	0	0.000	50	0.374	0	0
18.625	1.500	go	0	1	0.000	49	0.442	0	0
20.625	1.500	go	0	1	0.000	49	0.370	0	0
22.750	1.500	go	0	0	0.000	50	0.349	0	0
25.000	1.500	go	0	0	0.000	50	0.411	0	0
27.750	1.500	failed stop	1	1	0.250	49	0.333	0	0
30.625	1.500	go	0	1	0.000	49	0.378	0	0
32.750	1.500	successful stop	1	1	0.250	0	0.000	0	1
35.000	1.500	go	0	0	0.000	50	0.403	0	0
38.000	1.500	go	0	0	0.000	50	0.499	0	0
41.500	1.500	successful stop	1	0	0.150	0	0.000	0	1
43.625	1.500	go	0	0	0.000	50	0.410	0	0
45.625	1.500	go	0	1	0.000	49	0.378	0	0
48.625	1.500	go	0	1	0.000	49	0.426	0	0
51.625	1.500	go	0	0	0.000	50	0.354	0	0
53.750	1.500	successful stop	1	0	0.200	0	0.000	0	1
55.750	1.500	go	0	1	0.000	49	0.405	0	0
58.500	1.500	go	0	1	0.000	49	0.351	0	0
61.625	1.500	go	0	0	0.000	50	0.386	0	0
64.500	1.500	failed stop	1	0	0.250	50	0.407	0	0
69.125	1.500	go	0	1	0.000	49	0.382	0	0
71.500	1.500	go	0	1	0.000	49	0.359	0	0
73.750	1.500	go	0	0	0.000	50	0.453	0	0
76.125	1.500	go	0	1	0.000	49	0.414	0	0
78.875	1.500	go	0	1	0.000	49	0.408	0	0
81.000	1.500	failed stop	1	0	0.300	50	0.379	0	0
83.375	1.500	go	0	0	0.000	50	0.409	0	0
86.375	1.500	go	0	0	0.000	50	0.332	0	0
90.500	1.500	successful stop	1	1	0.250	0	0.000	0	1
93.625	1.500	go	0	1	0.000	49	0.466	0	0
95.875	1.500	go	0	0	0.000	50	0.408	0	0
98.000	1.500	go	0	0	0.000	50	0.435	0	0
100.375	1.500	go	0	1	0.000	49	0.436	0	0
103.625	1.500	successful stop	1	1	0.200	0	0.000	0	1
106.625	1.500	go	0	1	0.000	49	0.514	0	0
108.875	1.500	successful stop	1	1	0.200	0	0.000	0	1
111.750	1.500	go	0	0	0.000	50	0.397	0	0
114.000	1.500	go	0	0	0.000	50	0.459	0	0
116.125	1.500	go	0	0	0.000	50	0.430	0	0
121.125	1.500	go	0	0	0.000	50	0.430	0	0
123.125	1.500	go	0	1	0.000	49	0.550	0	0
125.125	1.500	successful stop	1	1	0.250	0	0.000	0	1
127.125	1.500	go	0	1	0.000	49	0.475	0	0
129.125	1.500	go	0	1	0.000	49	0.438	0	0
132.125	1.500	go	0	0	0.000	50	0.374	0	0
135.500	1.500	failed stop	1	0	0.300	50	0.423	0	0
138.250	1.500	successful stop	1	0	0.250	0	0.000	0	1
141.750	1.500	go	0	1	0.000	49	0.437	0	0
143.875	1.500	go	0	1	0.000	49	0.456	0	0
146.500	1.500	go	0	0	0.000	50	0.351	0	0
150.625	1.500	go	0	1	0.000	49	0.459	0	0
152.750	1.500	go	0	1	0.000	49	0.357	0	0
155.875	1.500	go	0	0	0.000	50	0.424	0	0
159.125	1.500	failed stop	1	0	0.250	50	0.383	0	0
163.000	1.500	failed stop	1	0	0.300	50	0.412	0	0
165.500	1.500	go	0	0	0.000	50	0.439	0	0
168.000	1.500	go	0	1	0.000	49	0.436	0	0
170.750	1.500	go	0	1	0.000	49	0.381	0	0
174.250	1.500	go	0	0	0.000	50	0.327	0	0
179.250	1.500	go	0	0	0.000	50	0.409	0	0
181.375	1.500	go	0	1	0.000	49	0.388	0	0
183.625	1.500	successful stop	1	1	0.200	0	0.000	0	1
185.750	1.500	go	0	0	0.000	50	0.365	0	0
187.750	1.500	go	0	1	0.000	49	0.437	0	0
190.625	1.500	go	0	0	0.000	50	0.346	0	0
192.625	1.500	successful stop	1	1	0.300	0	0.000	0	1
195.500	1.500	go	0	0	0.000	50	0.351	0	0
198.875	1.500	go	0	1	0.000	49	0.368	0	0
201.125	1.500	successful stop	1	1	0.250	0	0.000	0	1
204.125	1.500	go	0	0	0.000	50	0.398	0	0
206.250	1.500	go	0	0	0.000	50	0.409	0	0
208.500	1.500	go	0	0	0.000	50	0.383	0	0
210.750	1.500	go	0	1	0.000	49	0.549	0	0
213.250	1.500	successful stop	1	1	0.250	0	0.000	0	1
