onset	duration	trial_type	TrialType	Stimulus	SSD	Response	response_time	CorrectGo	SuccStop
0.000	1.500	failed stop-critical	1	1	0.150	49	0.395	1	0
3.000	1.500	go-noncritical	0	0	0.000	50	0.432	1	0
5.125	1.500	go-noncritical	0	0	0.000	50	0.396	1	0
7.375	1.500	go-noncritical	0	0	0.000	50	0.338	1	0
9.625	1.500	go-critical	0	1	0.000	49	0.472	1	0
11.750	1.500	go-critical	0	1	0.000	49	0.371	1	0
14.000	1.500	go-critical	0	1	0.000	49	0.353	1	0
17.500	1.500	go-noncritical	0	0	0.000	50	0.309	1	0
19.750	1.500	failed stop-critical	1	1	0.100	50	0.235	0	0
24.000	1.500	go-critical	0	1	0.000	49	0.465	1	0
27.125	1.500	go-noncritical	0	0	0.000	50	0.380	1	0
29.750	1.500	failed stop-noncritical	1	0	0.200	50	0.515	1	0
32.375	1.500	go-critical	0	1	0.000	49	0.505	1	0
35.000	1.500	go-critical	0	1	0.000	49	0.360	1	0
37.250	1.500	go-critical	0	1	0.000	49	0.382	1	0
41.625	1.500	go-critical	0	1	0.000	49	0.448	1	0
43.625	1.500	go-noncritical	0	0	0.000	50	0.480	1	0
45.875	1.500	failed stop-noncritical	1	0	0.250	50	0.406	1	0
49.875	1.500	failed stop-noncritical	1	0	0.150	50	0.493	1	0
53.125	1.500	failed stop-critical	1	1	0.250	49	0.603	1	0
55.375	1.500	go-critical	0	1	0.000	49	0.682	1	0
57.750	1.500	go-noncritical	0	0	0.000	50	0.458	1	0
60.375	1.500	go-critical	0	1	0.000	49	0.474	1	0
63.125	1.500	go-noncritical	0	0	0.000	50	0.435	1	0
65.125	1.500	failed stop-noncritical	1	0	0.100	50	0.539	1	0
67.125	1.500	go-critical	0	1	0.000	49	0.715	1	0
69.750	1.500	go-noncritical	0	0	0.000	50	0.411	1	0
74.000	1.500	successful stop-critical	1	1	0.200	0	0.000	0	1
76.000	1.500	go-noncritical	0	0	0.000	50	0.432	1	0
79.125	1.500	go-noncritical	0	0	0.000	50	0.443	1	0
82.000	1.500	go-noncritical	0	0	0.000	50	0.472	1	0
84.125	1.500	go-critical	0	1	0.000	49	0.675	1	0
86.750	1.500	go-noncritical	0	0	0.000	50	0.413	1	0
88.750	1.500	go-critical	0	1	0.000	49	0.642	1	0
90.875	1.500	go-critical	0	1	0.000	49	0.741	1	0
92.875	1.500	go-noncritical	0	0	0.000	50	0.477	1	0
94.875	1.500	go-critical	0	1	0.000	49	0.357	1	0
97.750	1.500	go-noncritical	0	0	0.000	50	0.403	1	0
101.500	1.500	go-noncritical	0	0	0.000	50	0.436	1	0
